tag,zeit,verbrauch_haushalt,produktion_solar,panels_online,eigenverbrauch,einspeisung,netzbezug
2024-07-01,00:00,0.18,0.0,16,0.0,0.0,0.18
2024-07-01,01:00,0.24,0.0,16,0.0,0.0,0.24
2024-07-01,02:00,0.16,0.0,16,0.0,0.0,0.16
2024-07-01,03:00,0.37,0.0,16,0.0,0.0,0.37
2024-07-01,04:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-01,05:00,0.23,0.0,16,0.0,0.0,0.23
2024-07-01,06:00,1.57,0.0,16,0.0,0.0,1.57
2024-07-01,07:00,2.02,0.75,16,0.75,0.0,1.27
2024-07-01,08:00,1.13,1.46,16,1.13,0.33000000000000007,0.0
2024-07-01,09:00,0.29,0.35,16,0.29,0.06,0.0
2024-07-01,10:00,0.86,4.38,16,0.86,3.52,0.0
2024-07-01,11:00,0.33,5.05,16,0.33,4.72,0.0
2024-07-01,12:00,0.29,5.46,16,0.29,5.17,0.0
2024-07-01,13:00,0.23,3.36,16,0.23,3.13,0.0
2024-07-01,14:00,0.35,1.36,16,0.35,1.0100000000000002,0.0
2024-07-01,15:00,0.46,1.26,16,0.46,0.8,0.0
2024-07-01,16:00,0.13,2.63,16,0.13,2.5,0.0
2024-07-01,17:00,1.69,2.09,16,1.69,0.3999999999999999,0.0
2024-07-01,18:00,1.43,2.43,16,1.43,1.0000000000000002,0.0
2024-07-01,19:00,1.93,0.75,16,0.75,0.0,1.18
2024-07-01,20:00,2.22,0.0,16,0.0,0.0,2.22
2024-07-01,21:00,2.27,0.0,16,0.0,0.0,2.27
2024-07-01,22:00,0.32,0.0,16,0.0,0.0,0.32
2024-07-01,23:00,0.89,0.0,16,0.0,0.0,0.89
2024-07-02,00:00,0.26,0.0,16,0.0,0.0,0.26
2024-07-02,01:00,0.33,0.0,16,0.0,0.0,0.33
2024-07-02,02:00,0.18,0.0,16,0.0,0.0,0.18
2024-07-02,03:00,0.22,0.0,16,0.0,0.0,0.22
2024-07-02,04:00,0.18,0.0,16,0.0,0.0,0.18
2024-07-02,05:00,0.16,0.0,16,0.0,0.0,0.16
2024-07-02,06:00,1.74,0.0,16,0.0,0.0,1.74
2024-07-02,07:00,1.84,0.31,16,0.31,0.0,1.53
2024-07-02,08:00,1.44,1.46,16,1.44,0.020000000000000018,0.0
2024-07-02,09:00,0.31,2.09,16,0.31,1.7799999999999998,0.0
2024-07-02,10:00,0.36,4.38,16,0.36,4.02,0.0
2024-07-02,11:00,0.32,3.03,16,0.32,2.71,0.0
2024-07-02,12:00,0.78,3.28,16,0.78,2.5,0.0
2024-07-02,13:00,0.57,5.6,16,0.57,5.029999999999999,0.0
2024-07-02,14:00,0.88,5.46,16,0.88,4.58,0.0
2024-07-02,15:00,0.5,5.05,16,0.5,4.55,0.0
2024-07-02,16:00,0.67,4.38,16,0.67,3.71,0.0
2024-07-02,17:00,1.77,2.09,16,1.77,0.31999999999999984,0.0
2024-07-02,18:00,2.48,2.43,16,2.43,0.0,0.04999999999999982
2024-07-02,19:00,1.99,0.31,16,0.31,0.0,1.68
2024-07-02,20:00,2.39,0.0,16,0.0,0.0,2.39
2024-07-02,21:00,1.66,0.0,16,0.0,0.0,1.66
2024-07-02,22:00,0.87,0.0,16,0.0,0.0,0.87
2024-07-02,23:00,0.41,0.0,16,0.0,0.0,0.41
2024-07-03,00:00,0.27,0.0,16,0.0,0.0,0.27
2024-07-03,01:00,0.24,0.0,16,0.0,0.0,0.24
2024-07-03,02:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-03,03:00,0.12,0.0,16,0.0,0.0,0.12
2024-07-03,04:00,0.15,0.0,16,0.0,0.0,0.15
2024-07-03,05:00,0.22,0.0,16,0.0,0.0,0.22
2024-07-03,06:00,1.75,0.0,16,0.0,0.0,1.75
2024-07-03,07:00,1.59,1.25,16,1.25,0.0,0.3400000000000001
2024-07-03,08:00,1.38,0.61,16,0.61,0.0,0.7699999999999999
2024-07-03,09:00,0.58,0.87,16,0.58,0.29000000000000004,0.0
2024-07-03,10:00,0.4,4.38,16,0.4,3.98,0.0
2024-07-03,11:00,0.53,5.05,16,0.53,4.52,0.0
2024-07-03,12:00,0.21,1.36,16,0.21,1.1500000000000001,0.0
2024-07-03,13:00,0.6,3.36,16,0.6,2.76,0.0
2024-07-03,14:00,0.58,1.36,16,0.58,0.7800000000000001,0.0
2024-07-03,15:00,0.2,3.03,16,0.2,2.8299999999999996,0.0
2024-07-03,16:00,0.61,2.63,16,0.61,2.02,0.0
2024-07-03,17:00,2.53,3.49,16,2.53,0.9600000000000004,0.0
2024-07-03,18:00,1.66,2.43,16,1.66,0.7700000000000002,0.0
2024-07-03,19:00,2.43,1.25,16,1.25,0.0,1.1800000000000002
2024-07-03,20:00,1.5,0.0,16,0.0,0.0,1.5
2024-07-03,21:00,2.11,0.0,16,0.0,0.0,2.11
2024-07-03,22:00,0.8,0.0,16,0.0,0.0,0.8
2024-07-03,23:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-04,00:00,0.2,0.0,16,0.0,0.0,0.2
2024-07-04,01:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-04,02:00,0.15,0.0,16,0.0,0.0,0.15
2024-07-04,03:00,0.15,0.0,16,0.0,0.0,0.15
2024-07-04,04:00,0.13,0.0,16,0.0,0.0,0.13
2024-07-04,05:00,0.25,0.0,16,0.0,0.0,0.25
2024-07-04,06:00,1.67,0.0,16,0.0,0.0,1.67
2024-07-04,07:00,1.47,0.31,16,0.31,0.0,1.16
2024-07-04,08:00,1.28,1.46,16,1.28,0.17999999999999994,0.0
2024-07-04,09:00,0.51,3.49,16,0.51,2.9800000000000004,0.0
2024-07-04,10:00,0.16,1.09,16,0.16,0.93,0.0
2024-07-04,11:00,0.79,5.05,16,0.79,4.26,0.0
2024-07-04,12:00,0.88,1.36,16,0.88,0.4800000000000001,0.0
2024-07-04,13:00,0.57,5.6,16,0.57,5.029999999999999,0.0
2024-07-04,14:00,0.44,5.46,16,0.44,5.02,0.0
2024-07-04,15:00,0.57,1.26,16,0.57,0.6900000000000001,0.0
2024-07-04,16:00,0.35,1.09,16,0.35,0.7400000000000001,0.0
2024-07-04,17:00,2.29,3.49,16,2.29,1.2000000000000002,0.0
2024-07-04,18:00,2.27,1.46,16,1.46,0.0,0.81
2024-07-04,19:00,1.03,1.25,16,1.03,0.21999999999999997,0.0
2024-07-04,20:00,2.11,0.0,16,0.0,0.0,2.11
2024-07-04,21:00,1.63,0.0,16,0.0,0.0,1.63
2024-07-04,22:00,0.35,0.0,16,0.0,0.0,0.35
2024-07-04,23:00,0.24,0.0,16,0.0,0.0,0.24
2024-07-05,00:00,0.06,0.0,16,0.0,0.0,0.06
2024-07-05,01:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-05,02:00,0.2,0.0,16,0.0,0.0,0.2
2024-07-05,03:00,0.24,0.0,13,0.0,0.0,0.24
2024-07-05,04:00,0.21,0.0,16,0.0,0.0,0.21
2024-07-05,05:00,0.18,0.0,16,0.0,0.0,0.18
2024-07-05,06:00,1.45,0.0,16,0.0,0.0,1.45
2024-07-05,07:00,1.34,0.75,16,0.75,0.0,0.5900000000000001
2024-07-05,08:00,1.35,2.43,16,1.35,1.08,0.0
2024-07-05,09:00,0.73,3.49,16,0.73,2.7600000000000002,0.0
2024-07-05,10:00,0.19,1.09,16,0.19,0.9000000000000001,0.0
2024-07-05,11:00,0.69,3.03,16,0.69,2.34,0.0
2024-07-05,12:00,0.23,1.36,16,0.23,1.1300000000000001,0.0
2024-07-05,13:00,0.77,1.4,16,0.77,0.6299999999999999,0.0
2024-07-05,14:00,0.46,5.46,16,0.46,5.0,0.0
2024-07-05,15:00,0.66,3.03,16,0.66,2.3699999999999997,0.0
2024-07-05,16:00,0.35,4.38,16,0.35,4.03,0.0
2024-07-05,17:00,2.02,3.49,16,2.02,1.4700000000000002,0.0
2024-07-05,18:00,2.05,2.43,16,2.05,0.38000000000000034,0.0
